rank,title,link,author,star,comment_num,comment_link,price
34,中华人民共和国劳动法(2015)(实用版),https://www.amazon.cn/dp/B018QJRHXO/ref=zg_bs_143387071_34?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,中国法制出版社,4.2,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
35,重口味心理学（套装共3册） (重口味剖析恶魔：《…,https://www.amazon.cn/dp/B07CZC2C2S/ref=zg_bs_143387071_35?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,盛唐,4.3,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
36,尸检报告：一个殡葬师的手记（BBC《神探夏洛…,https://www.amazon.cn/dp/B07WNW9RV7/ref=zg_bs_143387071_36?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,卡拉·瓦伦丁,4.6,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
37,中华人民共和国刑法(根据刑法修正案(十)最新修正),https://www.amazon.cn/dp/B07L57T7M2/ref=zg_bs_143387071_37?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,法律出版社,4.3,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
38,法学的故事,https://www.amazon.cn/dp/B0144D56WA/ref=zg_bs_143387071_38?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,蒋来用,3.8,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
39,法医报告＋尸检报告（套装共两册）（巴斯病理学…,https://www.amazon.cn/dp/B086XGKRYN/ref=zg_bs_143387071_39?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,卡拉·瓦伦丁,4.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
40,股权战争,https://www.amazon.cn/dp/B00ESBVC40/ref=zg_bs_143387071_40?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,苏龙飞,4.5,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
41,《中华人民共和国民法典》条文精释与实案全析（…,https://www.amazon.cn/dp/B08CMXGMDG/ref=zg_bs_143387071_41?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,杨立新,5.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
44,民法典一本通,https://www.amazon.cn/dp/B08K75L8WM/ref=zg_bs_143387071_44?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,法规应用研究中心,5.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
45,法律的十万个为什么,https://www.amazon.cn/dp/B01H4R7F7W/ref=zg_bs_143387071_45?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,朱斌 (插图作者) 漫友文化 (编者),5.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
46,中华人民共和国公司法:实用版,https://www.amazon.cn/dp/B06WVSGSX8/ref=zg_bs_143387071_46?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,国务院法制办公室,5.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
47,论犯罪与刑罚,https://www.amazon.cn/dp/B007VATGZ2/ref=zg_bs_143387071_47?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,切萨雷·贝卡里亚,4.5,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
50,税来税去,https://www.amazon.cn/dp/B00D9KMBZ0/ref=zg_bs_143387071_50?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,米宁,4.1,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
rank,title,link,author,star,comment_num,comment_link,price
51,牛津通识读本：法哲学：价值与事实（中文版）,https://www.amazon.cn/dp/B00I2KOED4/ref=zg_bs_143387071_51?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,雷蒙德•瓦克斯 (Wacks R.),4.1,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
54,中华人民共和国道路交通安全法：最新版附配套规定,https://www.amazon.cn/dp/B06W54PDH7/ref=zg_bs_143387071_54?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,中国法制出版社,4.5,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
55,牛津通识读本：法律（一读就懂的普法著作）,https://www.amazon.cn/dp/B01FXIKOTA/ref=zg_bs_143387071_55?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,雷蒙德·瓦克斯,3.8,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
56,最高人民法院指导性案例裁判规则理解与适用·劳动…,https://www.amazon.cn/dp/B07C79C6F4/ref=zg_bs_143387071_56?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,江必新,4.3,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
60,如何开办公司 (私人律师丛书),https://www.amazon.cn/dp/B007VAU1BK/ref=zg_bs_143387071_60?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,北京岳成律师事务所,4.0,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
64,中国法律的传统与近代转型,https://www.amazon.cn/dp/B00KX2XJYE/ref=zg_bs_143387071_64?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,张晋藩,4.5,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
69,致年轻律师的信,https://www.amazon.cn/dp/B00YDMVQJ0/ref=zg_bs_143387071_69?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,A.M.)著 (美)德肖维茨(D …,4.4,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
71,WTO反倾销法:蕴于实践的理论 (国际经济法论丛),https://www.amazon.cn/dp/B00825W96S/ref=zg_bs_143387071_71?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,顾敏康,2.4,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
72,2021法律硕士联考一本通·背诵版：法综,https://www.amazon.cn/dp/B08DX9JQ5Y/ref=zg_bs_143387071_72?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,韩祥波,5.0,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
75,法学论文写作,https://www.amazon.cn/dp/B00NW9LVOK/ref=zg_bs_143387071_75?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,何海波,4.6,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
76,中华人民共和国宪法:最新修正版,https://www.amazon.cn/dp/B07L81NMZL/ref=zg_bs_143387071_76?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,法律出版社,3.2,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
77,箱男（安部公房增删五年写就的都市“窥视者”小…,https://www.amazon.cn/dp/B071YM98DG/ref=zg_bs_143387071_77?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,安部公房(Abe Kobo),3.7,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
79,最好的辩护,https://www.amazon.cn/dp/B00WM94YTA/ref=zg_bs_143387071_79?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,(美)德肖维茨(A.M. Der …,4.1,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
81,隐秘的江湖：美国最高法院要案审理内幕 (新闻界…,https://www.amazon.cn/dp/B07D72J6YM/ref=zg_bs_143387071_81?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,鲍伯·伍德沃德,5.0,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
84,实习律师指南,https://www.amazon.cn/dp/B07CKR53X3/ref=zg_bs_143387071_84?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,薛晓蔚,4.4,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
87,懂点公司法：写给创业者的公司法律实务（知乎…,https://www.amazon.cn/dp/B076BT2T4V/ref=zg_bs_143387071_87?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,FU Wang,4.6,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
88,法医的眼泪,https://www.amazon.cn/dp/B01LX9J3LL/ref=zg_bs_143387071_88?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,上野正彦　著,4.3,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
89,联邦论：美国宪法述评（美国宪法之父、美国首任…,https://www.amazon.cn/dp/B01HI9ZBHW/ref=zg_bs_143387071_89?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,亚历山大·汉密尔顿,4.5,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
95,刑事诉讼文化论 (刑事程序法论丛),https://www.amazon.cn/dp/B008H1LCP6/ref=zg_bs_143387071_95?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,梁欣,5.0,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
98,法学论丛法律史系列-近代中国民法学中的私权理…,https://www.amazon.cn/dp/B008CM4J78/ref=zg_bs_143387071_98?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,俞江,5.0,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
100,知识产权法总论 (法学研究生教学书系),https://www.amazon.cn/dp/B008CMCNGC/ref=zg_bs_143387071_100?_encoding=UTF8&psc=1&refRID=VS8JVS9ZWAHZH0DG92R8,齐爱民,5.0,18,https://www.amazon.cn/product-reviews/B00I2KOED4/ref=zg_bs_143387071_cr_51?ie=UTF8&refRID=VS8JVS9ZWAHZH0DG92R8,￥8.99
