rank,title,link,author,star,comment_num,comment_link,price
35,狗狗训练：知道这些就够了（训练狗狗的入门必备…,https://www.amazon.cn/dp/B06WW3RDQM/ref=zg_bs_143553071_35?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,戴尔·沃勒（Dale Waller）,4.2,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
37,伯里曼人体绘画：从入门到精通 (畅销百年绘画圣…,https://www.amazon.cn/dp/B07DKC1Z9V/ref=zg_bs_143553071_37?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,乔治·伯里曼,3.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
38,万万没想到：用理工科思维理解世界：精装增补版,https://www.amazon.cn/dp/B088K9J1N1/ref=zg_bs_143553071_38?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,万维钢,5.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
39,《丁丁历险记》百科全书,https://www.amazon.cn/dp/B00EEWBLUS/ref=zg_bs_143553071_39?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,张祥斌,2.7,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
40,WHAT IF:那些古怪又让人忧心的问题（比尔·盖茨…,https://www.amazon.cn/dp/B018Q95EPW/ref=zg_bs_143553071_40?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,兰道尔·门罗,4.4,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
41,How to:如何不切实际地解决实际问题（What if作…,https://www.amazon.cn/dp/B087T2RFBJ/ref=zg_bs_143553071_41?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,兰道尔·门罗,4.6,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
42,"一想到还有95%的问题留给人类,我就放心了(荣获…",https://www.amazon.cn/dp/B07PYMZX4N/ref=zg_bs_143553071_42?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,豪尔赫•陈,4.6,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
43,后真相时代（得到年度推荐图书，当真相被操纵利…,https://www.amazon.cn/dp/B084HBJYKB/ref=zg_bs_143553071_43?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,赫克托·麦克唐纳,4.3,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
44,图解《说文解字》画说汉字:1000个汉字的故事 (紫…,https://www.amazon.cn/dp/B008HKHJWM/ref=zg_bs_143553071_44?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,许慎,4.2,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
45,易经的智慧,https://www.amazon.cn/dp/B00C15BIIA/ref=zg_bs_143553071_45?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,刘长江 著,5.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
47,可怕的科学大全集(超值金版),https://www.amazon.cn/dp/B0099NGR1A/ref=zg_bs_143553071_47?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,雅瑟,3.4,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
48,新编说文解字大全集(超值白金版),https://www.amazon.cn/dp/B01J99BPWY/ref=zg_bs_143553071_48?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,《新编说文解字大全集》编委会,4.3,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
49,文化失忆：写在时间的边缘（一部关于二十世纪的…,https://www.amazon.cn/dp/B08Q3C583H/ref=zg_bs_143553071_49?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,[澳]克莱夫·詹姆斯,3.6,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
rank,title,link,author,star,comment_num,comment_link,price
